Co_Code,year_end,net_Sales,equity_paid_up,PAT,PBIDT,Debt-Equity Ratio[Latest],PBIDTM-(%)[Latest]
6,201112,9660.29,187.95,1325.26,2112.63,0.0,12.57
6,201212,11357.96,187.95,1061.19,2125.02,0.0,12.57
6,201312,11149.61,187.95,1095.76,1914.46,0.0,12.57
6,201412,11738.21,187.95,1168.29,1775.54,0.0,12.57
6,201512,11796.83,187.95,591.57,1503.35,0.0,12.57
9,201103,258.95,33.4,31.22,62.18,0.25,26.31
9,201203,284.3,33.4,41.06,72.13,0.25,26.31
9,201303,383.77,33.4,40.07,75.29,0.25,26.31
9,201403,370.85,33.4,19.41,56.58,0.25,26.31
9,201503,345.22,33.4,107.83,158.05,0.25,26.31
9,201603,357.35,33.4,53.87,94.01,0.25,26.31
17,201103,103.38,3.03,10.68,18.15,0.0,19.3
17,201203,134.96,2.92,13.24,24.84,0.0,19.3
17,201303,135.06,2.92,12.12,23.5,0.0,19.3
17,201403,138.83,2.92,14.52,26.15,0.0,19.3
17,201503,163.32,2.92,17.12,29.36,0.0,19.3
17,201603,184.38,2.92,22.42,37.28,0.0,19.3
19,201106,62.77,146.02,-24.6,-16.14,11.2,10.89
19,201203,0.02,293.52,9.67,30.35,11.2,10.89
19,201303,0.0,293.52,-20.68,-26.43,11.2,10.89
19,201403,0.0,293.52,-78.21,-11.47,11.2,10.89
19,201506,278.01,293.52,-98.89,-11.26,11.2,10.89
19,201603,291.96,293.52,-65.11,36.86,11.2,10.89
20,201103,781.82,39.77,44.94,163.93,1.13,11.32
20,201112,595.22,39.77,-97.81,73.55,1.13,11.32
20,201303,1230.5,39.77,-23.7,122.58,1.13,11.32
20,201403,1091.65,39.77,-41.61,73.98,1.13,11.32
20,201503,1163.25,39.77,0.25,107.3,1.13,11.32
20,201603,1159.81,39.77,36.89,169.84,1.13,11.32
23,201103,5490.49,50.41,198.25,573.77,0.25,16.67
23,201203,8157.88,50.41,181.33,690.59,0.25,16.67
23,201303,8511.73,50.41,312.53,961.34,0.25,16.67
23,201403,8711.74,50.41,442.62,1112.9,0.25,16.67
23,201503,8967.34,50.91,645.08,1356.67,0.25,16.67
